
Dos 934 pacotes recebidos:
Pacote #776 <0> OK
Pacote #777 <0> OK
Pacote #778 <0> OK
Pacote #779 <0> OK
Pacote #780 <0> OK
Pacote #781 <0> OK
Pacote #782 <0> OK
Pacote #783 <0> OK
Pacote #784 <0> OK
Pacote #785 <0> OK
Pacote #786 <0> OK
Pacote #787 <0> OK
Pacote #788 <0> OK
Pacote #789 <0> OK
Pacote #790 <0> OK
Pacote #791 <0> OK
Pacote #792 <0> OK
Pacote #793 <0> OK
Pacote #794 <0> OK
Pacote #795 <0> OK
Pacote #796 <0> OK
Pacote #797 <0> OK
Pacote #798 <2> Perdido
Pacote #799 <2> Perdido
Pacote #800 <2> Perdido
Pacote #801 <2> Perdido
Pacote #802 <2> Perdido
Pacote #803 <2> Perdido
Pacote #804 <2> Perdido
Pacote #805 <2> Perdido
Pacote #806 <2> Perdido
Pacote #807 <2> Perdido
Pacote #808 <2> Perdido
Pacote #809 <2> Perdido
Pacote #810 <2> Perdido
Pacote #811 <2> Perdido
Pacote #812 <2> Perdido
Pacote #813 <2> Perdido
Pacote #814 <2> Perdido
Pacote #815 <2> Perdido
Pacote #816 <2> Perdido
Pacote #817 <2> Perdido
Pacote #818 <2> Perdido
Pacote #819 <2> Perdido
Pacote #820 <2> Perdido
Pacote #821 <2> Perdido
Pacote #822 <2> Perdido
Pacote #823 <2> Perdido
Pacote #824 <2> Perdido
Pacote #825 <2> Perdido
Pacote #826 <2> Perdido
Pacote #827 <2> Perdido
Pacote #828 <2> Perdido
Pacote #829 <2> Perdido
Pacote #830 <2> Perdido
Pacote #831 <2> Perdido
Pacote #832 <2> Perdido
Pacote #833 <2> Perdido
Pacote #834 <2> Perdido
Pacote #835 <2> Perdido
Pacote #836 <2> Perdido
Pacote #837 <2> Perdido
Pacote #838 <2> Perdido
Pacote #839 <2> Perdido
Pacote #840 <2> Perdido
Pacote #841 <2> Perdido
Pacote #842 <2> Perdido
Pacote #843 <2> Perdido
Pacote #844 <2> Perdido
Pacote #845 <2> Perdido
Pacote #846 <2> Perdido
Pacote #847 <2> Perdido
Pacote #848 <2> Perdido
Pacote #849 <2> Perdido
Pacote #850 <2> Perdido
Pacote #851 <2> Perdido
Pacote #852 <2> Perdido
Pacote #853 <2> Perdido
Pacote #854 <3> Fora de ordem adiantado: pulou [72] pacotes
Pacote #855 <0> OK
Pacote #856 <0> OK
Pacote #857 <0> OK
Pacote #858 <0> OK
Pacote #859 <0> OK
Pacote #860 <0> OK
Pacote #861 <0> OK
Pacote #862 <0> OK
Pacote #863 <3> Fora de ordem adiantado: pulou [73] pacotes
Pacote #864 <3> Fora de ordem adiantado: pulou [74] pacotes
Pacote #865 <0> OK
Pacote #866 <0> OK
Pacote #867 <0> OK
Pacote #868 <0> OK
Pacote #869 <0> OK
Pacote #870 <0> OK
Pacote #871 <0> OK
Pacote #872 <0> OK
Pacote #873 <0> OK
Pacote #874 <0> OK
Pacote #875 <0> OK
Pacote #876 <0> OK
Pacote #877 <0> OK
Pacote #878 <0> OK
Pacote #879 <0> OK
Pacote #880 <0> OK
Pacote #881 <0> OK
Pacote #882 <0> OK
Pacote #883 <0> OK
Pacote #884 <0> OK
Pacote #885 <0> OK
Pacote #886 <0> OK
Pacote #887 <0> OK
Pacote #888 <0> OK
Pacote #889 <0> OK
Pacote #890 <0> OK
Pacote #891 <0> OK
Pacote #892 <0> OK
Pacote #893 <0> OK
Pacote #894 <0> OK
Pacote #895 <0> OK
Pacote #896 <0> OK
Pacote #897 <0> OK
Pacote #898 <0> OK
Pacote #899 <0> OK
Pacote #900 <0> OK
Pacote #901 <0> OK
Pacote #902 <0> OK
Pacote #903 <0> OK
Pacote #904 <0> OK
Pacote #905 <0> OK
Pacote #906 <0> OK
Pacote #907 <0> OK
Pacote #908 <0> OK
Pacote #909 <0> OK
Pacote #910 <0> OK
Pacote #911 <0> OK
Pacote #912 <0> OK
Pacote #913 <0> OK
Pacote #914 <0> OK
Pacote #915 <0> OK
Pacote #916 <0> OK
Pacote #917 <0> OK
Pacote #918 <0> OK
Pacote #919 <0> OK
Pacote #920 <0> OK
Pacote #921 <0> OK
Pacote #922 <0> OK
Pacote #923 <0> OK
Pacote #924 <0> OK
Pacote #925 <0> OK
Pacote #926 <0> OK
Pacote #927 <0> OK
Pacote #928 <0> OK
Pacote #929 <0> OK
Pacote #930 <0> OK
Pacote #931 <0> OK
Pacote #932 <0> OK
Pacote #933 <0> OK
